#{"t_start": 1694674190.3130488, "env_id": null}
r,l,t
46.453008,149,400.999739
46.052237,149,401.939757
46.525126,149,402.875746
46.823721,149,403.727746
45.747479,149,404.561747
47.295022,149,405.363745
46.834276,149,406.151758
47.299928,149,406.929744
46.251937,149,407.742752
45.463673,149,408.583753
-290.493826,7,409.407749
47.250228,149,409.552764
47.974015,149,410.470755
47.98436,149,411.404754
46.440356,149,412.33976
47.588488,149,413.116756
47.70873,149,413.914759
47.406487,149,414.717686
46.836071,149,415.543761
47.569322,149,416.343753
-292.383384,5,417.130758
47.047402,149,417.262761
48.439402,149,418.146754
48.200373,149,419.037757
46.974782,149,420.018755
47.246357,149,420.969756
46.475624,149,421.815769
48.254238,149,422.618757
47.281992,149,423.437758
48.762655,149,424.220799
47.122802,149,424.924766
48.461192,149,425.62676
47.028326,149,426.331764
46.162943,149,427.033986
47.382086,149,427.740983
-152.998708,149,428.454991
47.27418,149,429.184992
47.907713,149,429.887986
47.428565,149,430.589987
46.208413,149,431.300985
46.423775,149,432.018989
-192.096565,5,432.621
46.861812,149,432.749996
46.721309,149,433.475007
46.51699,149,434.196001
46.589186,149,434.906993
48.259523,149,435.620029
47.494252,149,436.329222
46.989126,149,437.051239
48.30371,149,437.75622
46.806654,149,438.442225
46.679655,149,439.142225
47.739045,149,439.849166
47.647122,149,440.553167
46.952842,149,441.378167
46.972272,149,442.079168
47.122789,149,442.78517
47.051208,149,443.571169
46.555899,149,444.297169
47.345408,149,445.003355
46.565448,149,445.721319
46.782395,149,446.452348
46.711337,149,447.150355
46.469508,149,447.856355
47.263395,149,448.558355
46.865537,149,449.245347
-153.4939,149,449.942354
46.999449,149,450.66036
47.381548,149,451.354358
46.376827,149,452.047353
48.279249,149,452.748287
46.645546,149,453.437329
47.375557,149,454.144281
-91.708216,5,454.838289
-291.155438,5,454.869289
46.766813,149,454.999289
-254.474377,149,455.787462
46.87343,149,456.634455
47.040919,149,457.529459
46.550979,149,458.448458
46.248981,149,459.386466
45.655357,149,460.288459
46.834108,149,461.158478
46.220246,149,461.867459
-152.21653,149,462.661461
46.24985,149,463.444468
47.538611,149,464.256468
46.961183,149,465.091464
-355.692191,149,465.98947
46.738607,149,466.932467
48.432119,149,467.897465
46.755533,149,468.818479
47.855807,149,469.743483
47.601999,149,470.541471
46.291916,149,471.341475
47.021256,149,472.144469
47.754784,149,472.948476
46.643807,149,473.805474
46.648422,149,474.530476
46.381786,149,475.248473
46.616306,149,476.14572
-155.165357,149,477.099831
47.759385,149,478.055829
47.558399,149,478.924821
47.276676,149,479.721836
46.972731,149,480.510824
47.519193,149,481.31483
46.954898,149,482.140824
47.304107,149,483.027829
46.114957,149,483.939826
47.143887,149,484.877826
46.591401,149,485.799827
45.663529,149,486.722828
47.363309,149,487.625839
47.007971,149,488.461831
45.956281,149,489.275832
-191.54638,6,490.020832
47.307429,149,490.15383
46.933613,149,490.985843
47.670771,149,491.797843
47.92673,149,492.705832
46.216152,149,493.64784
47.30487,149,494.58285
46.600099,149,495.513839
47.074912,149,496.451835
45.619633,149,497.296846
47.499317,149,498.103839
46.985446,149,498.917838
45.95901,149,499.691849
48.177406,149,500.494851
46.995614,149,501.343852
45.818001,149,502.244844
46.601162,149,503.147852
46.47371,149,504.065842
47.498986,149,504.957843
46.719223,149,505.805854
-154.243972,149,506.617849
46.831108,149,507.415856
47.209417,149,508.214854
-90.982473,6,508.909863
-192.698185,4,508.940856
46.914516,149,509.06585
46.940674,149,509.840852
48.032484,149,510.750852
46.855469,149,511.638854
46.467604,149,512.579861
47.823918,149,513.466854
46.719584,149,514.389864
47.619839,149,515.199857
46.590194,149,515.994863
47.04167,149,516.802853
-192.34158,4,517.494863
46.515428,149,517.617877
47.769253,149,518.362859
-153.463391,149,519.188874
46.280991,149,520.093861
47.721923,149,520.990861
46.290797,149,521.856868
48.034249,149,522.755862
46.004909,149,523.630868
46.95207,149,524.481868
47.217681,149,525.251862
46.313707,149,526.063864
47.183304,149,526.907865
47.003235,149,527.771873
46.451644,149,528.746872
45.922893,149,529.647865
46.140382,149,530.583867
46.848592,149,531.501865
-53.178274,149,532.441868
46.988576,149,533.264868
47.813799,149,534.069872
46.540002,149,534.78888
46.952634,149,535.597871
46.526818,149,536.418883
46.357519,149,537.337879
46.698596,149,538.276873
46.389433,149,539.218065
46.920941,149,540.173997
46.472568,149,541.136063
47.75584,149,542.047085
46.174634,149,542.853068
47.494817,149,543.70207
47.275506,149,544.554072
47.138967,149,545.313073
-52.325271,149,546.13907
46.033968,149,547.05208
46.866827,149,547.989083
46.144784,149,548.936073
46.801936,149,549.871081
46.215104,149,550.817085
46.854931,149,551.623079
47.896326,149,552.453081
46.336445,149,553.306078
-155.594203,149,554.101082
47.132897,149,554.931086
-252.002465,149,555.851085
46.802451,149,556.744092
47.213189,149,557.647083
47.200424,149,558.526089
46.716635,149,559.410084
-93.31239,3,560.110089
46.767463,149,560.237086
47.000848,149,561.028016
47.436291,149,561.774088
47.812794,149,562.576055
45.773831,149,563.361087
46.392326,149,564.270088
46.382486,149,565.19509
47.265154,149,565.988095
46.671514,149,566.81909
45.910996,149,567.734068
46.446731,149,568.625051
-154.745515,149,569.441088
46.753591,149,570.214097
46.528996,149,571.030097
47.591085,149,571.786093
46.863522,149,572.599096
46.420191,149,573.534103
46.692655,149,574.408056
47.682347,149,575.106109
-192.19507,5,575.716098
47.759602,149,575.842104
46.533211,149,576.568103
46.638385,149,577.320101
46.352035,149,578.023104
46.794491,149,578.766121
45.837376,149,579.492103
46.217636,149,580.190101
46.574881,149,580.889101
46.606947,149,581.663098
46.885173,149,582.360117
47.719695,149,583.059034
46.332774,149,583.757307
46.3064,149,584.452309
46.461406,149,585.146305
47.970255,149,585.873309
-155.512378,149,586.583345
47.307102,149,587.293313
-154.631993,149,587.991311
46.03366,149,588.682313
47.455845,149,589.384312
45.756379,149,590.181314
-54.645082,149,590.993322
46.83349,149,591.740325
46.566859,149,592.43832
46.567678,149,593.268318
48.020758,149,594.029316
47.065822,149,594.767314
47.07537,149,595.513317
47.35844,149,596.230315
47.322072,149,596.932319
45.595134,149,597.63434
46.365053,149,598.348321
46.674154,149,599.074319
45.151144,149,599.783327
45.970423,149,600.476352
47.381832,149,601.171329
46.744362,149,601.889324
47.077359,149,602.615334
48.189264,149,603.326321
46.158109,149,604.025304
45.545984,149,604.730359
46.50723,149,605.435256
-350.601369,149,606.139257
47.165832,149,606.832257
46.615668,149,607.533267
-191.760183,6,608.1593
46.515748,149,608.286258
47.049246,149,608.973465
45.944072,149,609.680423
48.108527,149,610.404423
-191.641334,5,611.004429
-191.838395,6,611.031465
47.261203,149,611.15743
47.440886,149,611.844397
46.52607,149,612.547432
47.488194,149,613.263431
47.257328,149,613.974469
47.033478,149,614.680432
47.738267,149,615.383435
48.022617,149,616.086427
46.754774,149,616.797435
46.739203,149,617.503435
47.968186,149,618.208432
46.148977,149,618.907438
46.307065,149,619.614478
