#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
46.802414,149,430.434479
31.492727,149,431.207672
36.376672,149,431.953264
32.423946,149,432.691805
32.043466,68,433.358179
28.844405,149,433.756176
26.596162,149,434.453316
38.870132,149,435.167939
30.110968,149,435.875203
39.875636,89,436.532801
31.303589,149,437.046408
35.416272,149,437.777016
28.179984,149,438.542162
32.824167,149,439.25351
30.335621,89,439.973009
27.608283,149,440.451542
58.621349,149,441.224859
64.645363,149,441.947199
26.669183,43,442.583955
36.410742,149,442.88365
82.421183,149,443.624279
16.869056,149,444.326649
33.178197,149,445.050299
23.177159,149,445.762846
46.390048,149,446.478076
28.960879,149,447.185699
40.857499,149,447.895133
24.025747,149,448.59971
14.896622,149,449.347659
40.46767,149,450.074274
28.221102,149,450.796553
26.226071,149,451.520246
30.057416,149,452.269645
37.698434,149,452.975258
53.986247,149,453.695998
32.956619,149,454.397299
39.147236,149,455.110971
34.029899,149,455.815318
59.879716,149,456.52998
31.810981,149,457.239234
30.661015,149,457.973891
38.477268,149,458.696584
37.415515,149,459.423772
30.589959,149,460.150403
46.655898,149,460.864766
50.631641,149,461.574378
32.179532,149,462.278568
33.41078,149,462.993183
28.454767,149,463.707738
54.560248,149,464.540095
57.016286,149,465.273373
47.279305,149,466.080995
43.677032,149,466.879334
44.730652,149,467.687902
45.924907,149,468.425098
60.671554,149,469.140792
39.95504,149,470.062049
36.87294,149,470.852259
54.798486,149,471.736982
40.43613,149,472.510201
41.323613,149,473.277459
51.501735,149,474.076079
44.691082,149,474.798336
48.692368,149,475.60692
44.723522,149,476.4508
38.446072,149,477.269028
49.000385,149,478.028633
49.210448,149,478.930858
53.253211,149,479.834265
45.769948,149,480.661917
53.099069,149,481.473186
34.319034,149,482.309468
66.497002,149,483.129112
68.843283,149,483.89396
68.25812,149,484.695549
33.057542,149,485.529848
44.24148,149,486.408251
51.131418,149,487.236433
78.651855,149,488.115876
33.864183,149,488.894186
38.598717,149,489.611866
42.279004,149,490.363181
34.602324,149,491.077724
40.368737,149,491.86595
45.05467,149,492.617581
30.311068,149,493.545964
62.436599,149,494.285217
65.872568,149,495.01082
36.61205,149,495.733419
84.414423,149,496.446765
55.01741,149,497.158325
90.266082,149,497.869612
44.198256,149,498.582159
38.495563,149,499.294467
36.124233,149,500.00329
45.356827,149,500.719999
65.87671,149,501.428163
57.738915,149,502.124833
41.054816,149,502.83518
59.944463,149,503.543957
45.101898,149,504.24653
55.080065,149,504.941297
51.512706,149,505.641881
35.145585,149,506.336473
53.777346,149,507.036176
61.869566,149,507.733909
23.798378,149,508.449388
38.980129,149,509.200262
38.217121,149,509.948095
51.198876,149,510.687821
60.618053,149,511.400188
90.700869,149,512.11505
50.471615,149,512.877624
-57.556077,45,513.545388
56.471435,149,513.855968
